index,video_id,class,kinetics_start,kinetics_end,repetition_start,repetition_end,count
104,u45qCLuwa7I,exercising arm,38,48,45.941275,47.943277,9
130,BFPKPjBgXIU,bench pressing,22,32,22.0,32.0,3
131,DnMx7EjjmFo,bench pressing,11,21,14.16,21.0,5
132,ExiJ7qKakH4,bench pressing,0,10,0.0,9.97794,6
133,E9KZOVuBRfA,bench pressing,35,45,35.0,45.0,11
134,FyYRvnHdOgU,bench pressing,3,13,3.700701,10.07374,5
135,F4wlWyvtxfo,bench pressing,11,21,16.241379,21.0,4
136,GBKkhCC_RB0,bench pressing,36,46,36.0,45.976643,4
137,HytyY6-U2Cs,bench pressing,62,72,62.0,69.18349,2
138,IG71aOJQR60,bench pressing,7,17,8.7,17.0,2
139,KI4qhHcicjQ,bench pressing,28,38,28.0,38.0,2
140,KudgrrM7ep0,bench pressing,15,25,15.0,21.666667,2
141,LSZVUPkSswo,bench pressing,8,18,8.0,14.000135,3
142,LlhMJGUP2W8,bench pressing,0,10,1.601602,9.209209,2
143,MLLbKM7T41Y,bench pressing,20,30,20.0,29.985092,6
144,MsAZvmo1Nww,bench pressing,16,26,16.0,23.674341,3
145,NX5TcYEILhI,bench pressing,0,10,0.0,8.575242,9
146,OQG-2AODGnU,bench pressing,16,26,16.0,25.956361,4
147,Pc584-1gHSM,bench pressing,25,35,25.270398,33.517542,4
148,P2hB8qC6a84,bench pressing,16,26,16.0,25.948946,5
149,QOGgOFMWd-A,bench pressing,1,11,7.133333,11.0,3
150,QfU0gTCDcFg,bench pressing,9,19,9.0,18.976643,4
151,Q8hAgtaL-5s,bench pressing,2,12,2.0,12.0,5
152,RANIF8umZiI,bench pressing,16,26,21.4,26.0,2
153,RoX6SR6RyL8,bench pressing,0,10,4.8,10.0,3
154,Ss7rqrjXGJo,bench pressing,11,21,11.0,18.707708,10
155,Ss7rqrjXGJo,bench pressing,11,21,19.074741,20.976643,3
156,S6vQ1lXVuSo,bench pressing,7,17,7.0,17.0,5
157,TBMZywwPn1Q,bench pressing,4,14,10.4,14.0,2
158,T0NBMgnpNBM,bench pressing,39,49,39.0,48.976643,7
159,aDMJN5P4frE,bench pressing,41,51,41.0,51.0,3
160,anqK2f6p-bs,bench pressing,0,10,0.0,10.0,8
161,ayf46kiTMe8,bench pressing,0,10,0.0,5.34813,5
162,ayf46kiTMe8,bench pressing,0,10,6.284053,9.994318,3
163,c8u7KHlpLx4,bench pressing,290,300,291.034368,296.57324,2
164,d8w-VtuwFBA,bench pressing,6,16,11.033333,16.0,2
165,ehSg3cfjj6s,bench pressing,611,621,616.438772,620.976643,2
166,epqJH5Uow30,bench pressing,29,39,29.1001,38.943277,2
167,fo1u8bJGqGs,bench pressing,170,180,172.335669,179.976643,3
168,gWszV_R2qsk,bench pressing,3,13,3.0,13.0,6
169,g57EvZXAmAw,bench pressing,4,14,4.0,11.941275,2
170,hOKl7sjMeNU,bench pressing,11,21,15.237571,20.976643,4
171,hiVe2eAjRUw,bench pressing,17,27,17.0,25.108108,3
172,k5fWvRy20r0,bench pressing,13,23,13.0,23.0,5
173,lO-QBT_7QqI,bench pressing,7,17,8.801802,14.674341,3
174,m18y6duHJoE,bench pressing,13,23,13.0,22.216667,2
175,nFCFpSgazyU,bench pressing,34,44,34.233333,44.0,4
176,sGSKsDVQnN0,bench pressing,15,25,15.0,19.333333,2
177,sd4DxaP5yuQ,bench pressing,14,24,14.0,19.0,3
178,ujlIhsqKMI0,bench pressing,13,23,13.0,19.206206,4
179,uplZG4ItXHo,bench pressing,22,32,22.8,32.0,3
180,wJy2mDcwOus,bench pressing,4,14,4.0,14.0,4
181,yJQ_zMEBxK4,bench pressing,2,12,2.0,12.0,3
182,1bFWbJLYvvs,bench pressing,3,13,3.0,9.339673,2
183,3MbLV9MjhUk,bench pressing,3,13,3.5,12.966667,6
184,32L9h_1yByY,bench pressing,16,26,16.0,25.976643,3
185,60ec-oicWyE,bench pressing,38,48,38.0,45.173841,2
186,7QAMesOwGe8,bench pressing,13,23,13.0,23.0,4
187,-SFnrG0O-2E,bench pressing,191,201,191.0,197.57324,2
188,_j-FyEoQ0jg,bench pressing,182,192,189.173841,191.976643,2
796,AKz7153Ayz4,exercising arm,18,28,18.0,27.976643,3
797,APTrC7Yce1A,exercising arm,33,43,33.0,42.943277,6
798,Af_nhTbepUk,exercising arm,53,63,53.0,62.44,4
799,AszTULbxaB0,exercising arm,1,11,1.0,10.976643,4
800,A4tWEAGitpc,exercising arm,11,21,11.0,19.291667,2
801,BRmGzz8yAGc,exercising arm,7,17,7.0,12.472139,2
802,BqjVG2vCMAM,exercising arm,94,104,94.0,102.883884,13
803,BqjVG2vCMAM,exercising arm,94,104,102.967301,103.968302,2
804,Ci71y8BoY-w,exercising arm,316,326,316.0,321.839173,2
805,Cp0scH21m6E,exercising arm,3,13,4.348436,12.978425,4
806,C0cwMx-GQEg,exercising arm,105,115,110.505506,114.676343,3
807,C8warOmBnuc,exercising arm,1,11,1.08,11.0,4
808,D97MTFqFisk,exercising arm,69,79,69.533867,78.976643,2
809,Eat4ccTv250,exercising arm,61,71,61.0,71.0,3
810,EorIwBK8NIQ,exercising arm,10,20,13.169837,19.976643,3
811,EzRmVRkpF-c,exercising arm,3,13,3.0,12.976643,3
812,FADtZYbS3SA,exercising arm,0,10,0.0,5.59322,4
813,FADtZYbS3SA,exercising arm,0,10,5.728814,10.0,3
814,FDyDX2vTXYE,exercising arm,10,20,10.0,16.450695,7
815,F3jZ_3hUrWc,exercising arm,395,405,395.959923,404.959203,5
816,GXXICmsGMF0,exercising arm,0,10,4.04,10.0,3
817,GlWwojATv5k,exercising arm,528,538,529.001001,533.572239,4
818,GlWwojATv5k,exercising arm,528,538,533.772439,536.508509,3
819,G3ult0A6WMw,exercising arm,65,75,65.0,74.943277,3
820,G__9za6MzoU,exercising arm,55,65,55.0,65.0,6
821,HJqE9C9iTpg,exercising arm,16,26,16.0,25.133333,4
822,IBpTdmSeYKw,exercising arm,168,178,168.0,178.0,3
823,I1EgU_wD7AQ,exercising arm,31,41,31.0,38.833333,2
825,JiHaOoW05o0,exercising arm,86,96,89.803804,95.242576,2
826,Jn6i6-wH4WY,exercising arm,52,62,52.0,57.505506,4
827,KFtXsvAvDmM,exercising arm,120,130,120.0,130.0,2
828,KhWRMTaZinc,exercising arm,14,24,14.0,23.743076,3
829,LLiYL5ELL8Q,exercising arm,3,13,3.0,12.976643,2
830,LjF_Ey2YiQM,exercising arm,0,10,0.0,9.209209,2
831,MFC3rk_OId0,exercising arm,46,56,47.2,56.0,5
832,MQcV9IsOhmE,exercising arm,3,13,3.0,10.366667,3
833,M50TEF_BhcM,exercising arm,33,43,33.2002,41.541875,9
834,NIC3DGW1HfE,exercising arm,1,11,1.0,7.106106,3
835,NhEbIlzVc_U,exercising arm,84,94,84.0,87.303303,5
836,NhEbIlzVc_U,exercising arm,84,94,90.840174,93.976643,5
837,N_2aT4BrK-E,exercising arm,9,19,9.0,18.976643,3
838,Ogs6TDvMN2Q,exercising arm,1,11,3.035369,10.275943,4
839,PEhpLeYf3Ck,exercising arm,98,108,99.8,105.533333,5
840,QgtH6KMavAg,exercising arm,454,464,458.471138,463.776443,4
841,R05Ot51EZxU,exercising arm,10,20,10.0,13.979667,3
842,R05Ot51EZxU,exercising arm,10,20,15.334091,19.965889,4
843,SaemUgFoKaU,exercising arm,90,100,90.0,99.976643,4
844,TLEviNwLd0I,exercising arm,0,10,0.066667,8.833333,3
845,T1op3DkepxU,exercising arm,15,25,17.869536,24.476143,3
846,UBkYEQ-eN_w,exercising arm,34,44,38.666667,44.0,3
